COMUNA,NOMBRE,PARTIDO,PACTO,RELECCIÓN,AÑOS EN EL CARGO,PERIODOS COMO ALCALDE,CANDIDATURAS ANTERIORES * ,FACEBOOK,TWITTER
Canela,ISABEL CORTEZ ,UDI,Coalición,No,0,Ninguno,No,,
Canela,JUAN ARAYA,IND,Igualdad para Chile,No,0,Ninguno,"1992, 1996",,
Canela,BERNARDO LEYTON ,IND,Sin Pacto,No,0,Ninguno,1992,https://www.facebook.com/independientespor.bernardoleytonalcalde,Bernardo_Leyton
Canela,NORMAN ARAYA ,IND,Sin Pacto,Sí,0,"1994-2004, 2008-2012","1992, 1996, 2000, 2004, 2008",,
Cañete,ABRAHAM SILVA,DC,Concertación,No,0,Ninguno,"1992, 1996, 2000",,
Cañete,JORGE RADONICH,RN,Coalición,Sí,8,2004 - 2012,"1992, 1996, 2000, 2004, 2008",,Jorgeradonich
Cañete,MIGUEL JARA,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/miguelgerardo.jarasanchez,
Carahue,JUAN CARLOS FERNANDEZ,UDI,Coalición,No,0,Ninguno,No,,jc_fernandez
Carahue,PEDRO VERA,PRSD,Por un Chile Justo,No,0,Ninguno,No,,
Carahue,CRISTIAN MORALES,IND,El cambio por ti,No,0,Ninguno,No,https://www.facebook.com/cristianmoralesalcalde,
Cartagena,GENARO TOBAR ,IND,Sin Pacto,No,0,Ninguno,No,,
Cartagena,JESUS CARTAGENA,IND,Sin Pacto,Sí,1,2011-2012,No,,
Cartagena,RAMON CARTAGENA,RN,Coalición,No,0,Ninguno,"2000, 2004",,
Cartagena,RODRIGO GARCIA ,IND,Por un Chile Justo,No,0,Ninguno,2008,,
Casablanca,IVAN DURAN ,IND,Sin Pacto,No,0,Ninguno,2008,,Candidatoduran
Casablanca,RODRIGO MARTINEZ,RN,Coalición,No,0,Ninguno,No,,
Casablanca,FILIBERTO NUÑEZ,DC,Concertación,No,0,Ninguno,No,https://www.facebook.com/pages/Filiberto-N%C3%BA%C3%B1ez-Z%C3%BA%C3%B1iga-Alcalde-Casablanca-2012/223431097758247,Filibertonunez
Castro,JAIME MARQUEZ,IND,Sin Pacto,No,0,Ninguno,No,https://www.facebook.com/jaime.marquez.31924,Jmarqueztey
Castro,NELSON AGUILA,DC,Concertación,Sí,16,1996-2012,"1992, 1996, 2000, 2004, 2008",https://www.facebook.com/NelsonAguilaSerpaAlcaldePorCastro2012,Aguiladecastro
Castro,FERNANDO BORQUEZ,RN,Coalición,No,0,Ninguno,1996,,Fernandoborquez
Catemu,BORIS LUKSIC,RN,Coalición,Sí,8,2004-2012,"1992, 1996, 2004, 2008",,
Catemu,CARLOS VALDES,PC,Por un Chile Justo,No,0,Ninguno,"1992, 2000, 2008",,
Catemu,MARIA JESUS SANCHEZ,IND,El cambio por ti,No,0,Ninguno,"2000, 2004",,
Catemu,JOSE DELGADO,IND,Sin Pacto,No,12,1992-2004,"1992, 1996, 2000, 2004, 2008",,
Cauquenes,GUILLERMO BADILLA,DC,Concertación,No,8,2000 - 2008,"2000, 2004",,
Cauquenes,JAIME CAMPOS,IND,Sin Pacto,No,0,Ninguno,No,,
Cauquenes,JUAN CARLOS MUÑOZ ,RN,Coalición,Sí,4,2008 - 2012,"1992, 2000, 2004, 2008",,Alcaldemunoz
Cauquenes,JUAN CARLOS SOTO,IND,El cambio por ti,No,0,Ninguno,1996,,
Cerrillos,ALEJANDRO ALMENDARES,RN,Coalición,Sí,16,1996 - 2012,"1992, 1996, 2000, 2004, 2008",,
Cerrillos,ARTURO AGUIRRE,PS,Concertación,No,0,Ninguno,"1992, 1996, 2000",https://www.facebook.com/arturoaguirrealcalde,Arturo_aguirreg
Cerrillos,EUGENIO AGUILERA,IND,El cambio por ti,No,0,Ninguno,No,,
Cerrillos,HERNAN ORTIZ,PRI,Regionalistas e Independientes,No,0,Ninguno,No,,
Cerro Navia,CARLOS LISPERGUER ,PI,Igualdad para Chile,No,0,Ninguno,No,,
Cerro Navia,LUIS PLAZA ,RN,Coalición,Sí,4,2008 - 2012,"1996, 2000, 2004, 2008",,Alcaldelplaza
Cerro Navia,MAURO TAMAYO,IND,Por un Chile Justo,No,0,Ninguno,No,https://www.facebook.com/maurotamayorozas,Mtamayor
Cerro Navia,ORIELE NUÑEZ ,IND,El cambio por ti,No,0,Ninguno,No,,
Chaitén,FERNANDO ROLDAN,UDI,Coalición,No,4,1996-2000,"1992,1996, 2000, 2004, 2008",,
Chaitén,LUIS GALLARDO ,IND,Concertación,No,0,Ninguno,2000,,
Chaitén,PEDRO VASQUEZ,IND,Sin Pacto,Si,4,2008-2012,2008,,
Chaitén,RICARDO GALLEGOS,IND,Sin Pacto,No,0,Ninguno,No,,
Chaitén,IVONNE PLEITEZ,IND,Sin Pacto,No,0,Ninguno,No,,
Chaitén,WILSON BARRIGA,IND,Sin Pacto,No,0,Ninguno,No,,
Chañaral,HECTOR VOLTA,PRSD,Por un Chile Justo,Sí,12,2000-2012,"1992,1996, 2000, 2004, 2008",,
Chañaral,LUIS CAMPUSANO,IND,Coalición,No,0,Ninguno,No,,
Chañaral,RAUL SALAS AGUILERA,PRO,El cambio por ti,No,0,Ninguno,No,,Raul_Salas_A
Chanco,ARTURO GUTIERREZ,DC,Concertación,No,0,Ninguno,No,,
Chanco,JOSE PEREZ,PRI,Regionalistas e Independientes,No,0,Ninguno,No,,
Chanco,VIVIANA DIAZ,RN,Coalición,Sí,4,2008-2012,2008,,
Chépica,MIRIAM RODRIGUEZ,PS,Concertación,No,12,1996 - 2008,"1992, 1996, 2000, 2004, 2008",,
Chépica,ANTONIO CERPA,IND,Más Humanos,No,0,Ninguno,No,,
